Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,Lenovo 3 ChromeBook 11IGL05 / Chrome OS,,SE_73902,7839.0,0,1,,0,0,1,0,,,Lenovo 3 ChromeBook 11IGL05 / Chrome OS   Celeron® Dual-Core N4020 (2M Cache  up to 2.48 GHz)  4GB DDR4 Рам Меморија  32GB eMMC  Веб камера 0.3MP with Microphone  WiFi: WiFi 802.11 a/c  Bluetooth® 4.0 Combo with WiFi card  Ports: 1 x USB 3.0  1 x USB 2.0  3.5 mm Combo Audio Jack  1 x HDMI  1 x RJ45  4-in-1 Card Reader (SD  SDHC  SDXC  MMC)  11.6" (1366x768) Panel  P/N:82BA0000US,,<div class="tab-content" id="tab-description" itemprop="description">Lenovo 3 ChromeBook 11IGL05 / Chrome OS <br> - Celeron® Dual-Core N4020 (2M Cache<br> up to 2.48 GHz)<br> 4GB DDR4 Рам Меморија<br> 32GB eMMC<br> Веб камера 0.3MP with Microphone<br> WiFi: WiFi 802.11 a/c<br> Bluetooth® 4.0 Combo with WiFi card<br> Ports: 1 x USB 3.0<br> 1 x USB 2.0<br> 3.5 mm Combo Audio Jack<br> 1 x HDMI<br> 1 x RJ45<br> 4-in-1 Card Reader (SD<br> SDHC<br> SDXC<br> MMC)<br> 11.6" (1366x768) Panel<br> P/N:82BA0000US </div>,73902_0-1000x1000.jpg,Lenovo-3-ChromeBook-11IGL05-/-Chrome-OS, 360,SE_73902,SE_73902,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 1 A115-22-A8WH,,SE_55785,11369.0,0,1,,30,0,1,0,,,ACER Aspire 1 A115-22-A8WH  Процесор AMD 3020E (1M Cache / up to 2.6 GHz)  Графичка AMD HD Рам меморија 4GB DDR4  Диск 128GB SSD  3xUSB  Camera  HDMI  BT  15.6" FHD (1920 x 1080) resolution  NX.A7PEX.001,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 1 A115-22-A8WH<br> Процесор AMD 3020E (1M Cache / up to 2.6 GHz)<br> Графичка AMD HD<br>Рам меморија 4GB DDR4<br> Диск 128GB SSD<br> 3xUSB<br> Camera<br> HDMI<br> BT<br> 15.6" FHD (1920 x 1080) resolution<br> NX.A7PEX.001 </div>,55785_0-1000x1000.jpg,ACER-Aspire-1-A115-22-A8WH, 720,SE_55785,SE_55785,2,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Acer,ACER Aspire 3 A315-23-A7KD,,SE_55490,12739.0,0,1,,10,0,1,0,,,ACER Aspire 3 A315-23-A7KD  Процесор AMD 3020E (1M Cache / up to 2.6 GHz)  Графичка Intel HD  RAM 4GB DDR4  256GB SSD  4xUSB  Card Reader  Camera  HDMI  Ethernet  BT  15.6" FHD (1920 x 1080) resolution  Linux  NX.HVUEX.037,,<div class="tab-content" id="tab-description" itemprop="description">ACER Aspire 3 A315-23-A7KD<br> Процесор AMD 3020E (1M Cache / up to 2.6 GHz)<br> Графичка Intel HD<br> RAM 4GB DDR4<br> 256GB SSD<br> 4xUSB<br> Card Reader<br> Camera<br> HDMI<br> Ethernet<br> BT<br> 15.6" FHD (1920 x 1080) resolution<br> Linux<br> NX.HVUEX.037 </div>,55490_0-1000x1000.jpg,ACER-Aspire-3-A315-23-A7KD, 720,SE_55490,SE_55490,2,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 15S-eq1056nia (Black),,SE_51772,13719.0,0,1,,12,0,1,0,,,HP 15S-eq1056nia (Black)  Процесор AMD 3020e (4M Cache  up to 2.6 GHz)  Графичка карта AMD Radeon Integrated Graphics  Рам меморија 4GB 2400MHz DDR4  Диск 256GB SSD  HD webcam  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1366x768)   PN: 2S8G1EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 15S-eq1056nia (Black)<br> - Процесор AMD 3020e (4M Cache<br> up to 2.6 GHz)<br> Графичка карта AMD Radeon Integrated Graphics<br> Рам меморија 4GB 2400MHz DDR4<br> Диск 256GB SSD<br> HD webcam<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1366x768) <br> PN: 2S8G1EA </div>,51772_0-1000x1000.jpg,HP-15S-eq1056nia-(Black), 360,SE_51772,SE_51772,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 250 G8,,SE_51644,13719.0,0,1,,4,0,1,0,,,HP 250 G8  Intel® Celeron N4020 Processor (up to 2.60GHz  4MB)  RAM: 4GB 2400MHz DDR4  256GB SSD  Intel HD VGA  Integrated widescreen Webcam with Single Digital Microphone  Wireless: 802.11ac + Bluetooth 4.1  Ports: HDMI x 1  VGA x 1  USB 3.0 x 2  USB 2.0 x 1  Kensington lock slot  Card Reader (SD  SDHC  SDXC)  Battery: 40 WHr  4-Cell Battery   15.6-inch HD (1366x768) Truelife LED-Backlit Display  OS: Linux  P/N: 2X7T8EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 250 G8<br> Intel® Celeron N4020 Processor (up to 2.60GHz<br> 4MB)<br> RAM: 4GB 2400MHz DDR4<br> 256GB SSD<br> Intel HD VGA<br> Integrated widescreen Webcam with Single Digital Microphone<br> Wireless: 802.11ac + Bluetooth 4.1<br> Ports: HDMI x 1<br> VGA x 1<br> USB 3.0 x 2<br> USB 2.0 x 1<br> Kensington lock slot<br> Card Reader (SD<br> SDHC<br> SDXC)<br> Battery: 40 WHr<br> 4-Cell Battery <br> 15.6-inch HD (1366x768) Truelife LED-Backlit Display<br> OS: Linux<br> P/N: 2X7T8EA </div>,51644_0-1000x1000.jpg,HP-250-G8, 360,SE_51644,SE_51644,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 250 G8,,SE_51643,13719.0,0,1,,6,0,1,0,,,HP 250 G8  Intel® Celeron N4020 Processor (up to 2.60GHz  4MB)  RAM: 4GB 2400MHz DDR4  500GB HDD  Intel HD VGA  Integrated widescreen Webcam with Single Digital Microphone  Wireless: 802.11ac + Bluetooth 4.1  Ports: HDMI x 1  VGA x 1  USB 3.0 x 2  USB 2.0 x 1  Kensington lock slot  Card Reader (SD  SDHC  SDXC)  Battery: 40 WHr  4-Cell Battery   15.6-inch HD (1366x768) Truelife LED-Backlit Display  OS: Linux  P/N: 27K08EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 250 G8<br> Intel® Celeron N4020 Processor (up to 2.60GHz<br> 4MB)<br> RAM: 4GB 2400MHz DDR4<br> 500GB HDD<br> Intel HD VGA<br> Integrated widescreen Webcam with Single Digital Microphone<br> Wireless: 802.11ac + Bluetooth 4.1<br> Ports: HDMI x 1<br> VGA x 1<br> USB 3.0 x 2<br> USB 2.0 x 1<br> Kensington lock slot<br> Card Reader (SD<br> SDHC<br> SDXC)<br> Battery: 40 WHr<br> 4-Cell Battery <br> 15.6-inch HD (1366x768) Truelife LED-Backlit Display<br> OS: Linux<br> P/N: 27K08EA </div>,51643_0-1000x1000.jpg,HP-250-G8, 360,SE_51643,SE_51643,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 255 G8 (Black),,SE_51771,13719.0,0,1,,14,0,1,0,,,HP 255 G8 (Black)  Процесор AMD 3020e (4M Cache  up to 2.6 GHz)  Графичка карта Integrated  Рам меморија 4GB 2666MHz DDR4  Диск 256GB SSD  HD webcam  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1366x768)   PN: 2W1D4EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 255 G8 (Black)<br> - Процесор AMD 3020e (4M Cache<br> up to 2.6 GHz)<br> Графичка карта Integrated<br> Рам меморија 4GB 2666MHz DDR4<br> Диск 256GB SSD<br> HD webcam<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1366x768) <br> PN: 2W1D4EA </div>,51771_0-1000x1000.jpg,HP-255-G8-(Black), 360,SE_51771,SE_51771,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,LENOVO IdeaPad 3 15ADA6 ( PLATINUM GRAY )- AMD 3020E (1M Cache,,SE_52674,13719.0,0,1,,0,0,1,0,,,LENOVO IdeaPad 3 15ADA6 ( PLATINUM GRAY )- AMD 3020E (1M Cache  up to 2.6 GHz)  Intel HD graphics  4GB DDR4 2400MHz  256GB SSD  HD 720P WEBCAM  2 x Stereo Speakers with Dolby Audio  LAN: 10/100/1000M Gigabit Ethernet  Bluetooth® 4.0 Combo with WiFi Card  Ports: 1 x USB 3.0  1 x USB 2.0  3.5 mm Combo Audio Jack  1 x VGA  1 x HDMI  1 x RJ45  4-in-1 Card Reader  15.6" HD (1366x768)  P/N: 82KR004ARM,,<div class="tab-content" id="tab-description" itemprop="description">LENOVO IdeaPad 3 15ADA6 ( PLATINUM GRAY )- AMD 3020E (1M Cache<br> up to 2.6 GHz)<br> Intel HD graphics<br> 4GB DDR4 2400MHz<br> 256GB SSD<br> HD 720P WEBCAM<br> 2 x Stereo Speakers with Dolby Audio<br> LAN: 10/100/1000M Gigabit Ethernet<br> Bluetooth® 4.0 Combo with WiFi Card<br> Ports: 1 x USB 3.0<br> 1 x USB 2.0<br> 3.5 mm Combo Audio Jack<br> 1 x VGA<br> 1 x HDMI<br> 1 x RJ45<br> 4-in-1 Card Reader<br> 15.6" HD (1366x768)<br> P/N: 82KR004ARM </div>,52674_0-1000x1000.jpg,LENOVO-IdeaPad-3-15ADA6-(-PLATINUM-GRAY-)--AMD-3020E-(1M-Cache, 720,SE_52674,SE_52674,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS E410MA-BV1182WS (Peacock Blue) / Win 11 Home S,,SE_52656,14699.0,0,1,,16,0,1,0,,,ASUS E410MA-BV1182WS (Peacock Blue) / Win 11 Home S  Процесор Intel Celeron N4020 (4M Cache  up to 2.8 GHz  2 cores)  Рам Меморија 4GB DDR4 (on-board 4GB)   Диск 128GB M.2 SSD PCIEG3x2 NVME   Графичка карта Intel UHD   BT5.0  1xUSB 2.0  1xUSB 3.2  1xType C  HDMI 1.4 VGA camera  42WHrs / 3S1P/ 3-cell Li-ion  14" HD LED (1366x768) glare  Windows 11 Home S  PN: 90NB0Q11-M40870,,<div class="tab-content" id="tab-description" itemprop="description">ASUS E410MA-BV1182WS (Peacock Blue) / Win 11 Home S<br> Процесор Intel Celeron N4020 (4M Cache<br> up to 2.8 GHz<br> 2 cores)<br> Рам Меморија 4GB DDR4 (on-board 4GB) <br> Диск 128GB M.2 SSD PCIEG3x2 NVME <br> Графичка карта Intel UHD <br> BT5.0<br> 1xUSB 2.0<br> 1xUSB 3.2<br> 1xType C<br> HDMI 1.4<br>VGA camera<br> 42WHrs / 3S1P/ 3-cell Li-ion<br> 14" HD LED (1366x768) glare<br> Windows 11 Home S<br> PN: 90NB0Q11-M40870 </div>,52656_0-1000x1000.jpg,ASUS-E410MA-BV1182WS-(Peacock-Blue)-/-Win-11-Home-S, 720,SE_52656,SE_52656,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 250 G8,,SE_54035,14699.0,0,1,,12,0,1,0,,,HP 250 G8  Intel® Celeron N4020 Processor (up to 2.60GHz  4MB)  RAM: 8GB 2400MHz DDR4  256GB SSD  Intel HD VGA  Integrated widescreen Webcam with Single Digital Microphone  Wireless: 802.11ac + Bluetooth 4.1  Ports: HDMI x 1  VGA x 1  USB 3.0 x 2  USB 2.0 x 1  Kensington lock slot  Card Reader (SD  SDHC  SDXC)  Battery: 40 WHr  4-Cell Battery   15.6-inch HD (1366x768) Truelife LED-Backlit Display  OS: Linux  P/N: 2X7W8EA,,<div class="tab-content" id="tab-description" itemprop="description">HP 250 G8<br> Intel® Celeron N4020 Processor (up to 2.60GHz<br> 4MB)<br> RAM: 8GB 2400MHz DDR4<br> 256GB SSD<br> Intel HD VGA<br> Integrated widescreen Webcam with Single Digital Microphone<br> Wireless: 802.11ac + Bluetooth 4.1<br> Ports: HDMI x 1<br> VGA x 1<br> USB 3.0 x 2<br> USB 2.0 x 1<br> Kensington lock slot<br> Card Reader (SD<br> SDHC<br> SDXC)<br> Battery: 40 WHr<br> 4-Cell Battery <br> 15.6-inch HD (1366x768) Truelife LED-Backlit Display<br> OS: Linux<br> P/N: 2X7W8EA </div>,54035_0-1000x1000.jpg,HP-250-G8, 360,SE_54035,SE_54035,28,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,LENOVO IdeaPad 3 15ITL6 ( GRAY ) - Процесор Intel Celeron 6305 (4M Cache,,SE_52567,15189.0,0,1,,20,0,1,0,,,LENOVO IdeaPad 3 15ITL6 ( GRAY ) Процесор Intel Celeron 6305 (4M Cache  up to 1.8 GHz)  Графичка карта Intel HD graphics  РАМ Меморија 4GB DDR4 3200МHz  Диск 256GB SSD M.2 2242 PCIe 3.0x4 NVМе  HD 720P WEBCAM  2 x Stereo Speakers with Dolby Audio  LAN: 10/100/1000M Gigabit Ethernet  Bluetooth® 4.0 Combo with WiFi Card  Ports: 1 x USB 3.0  2 x USB 2.0  3.5 mm Combo Audio Jack  1 x VGA  1 x HDMI  1 x RJ45  4-in-1 Card Reader  15.6" FULL HD (1920x1080)  P/N: 82H800WBRM,,<div class="tab-content" id="tab-description" itemprop="description">LENOVO IdeaPad 3 15ITL6 ( GRAY ) - Процесор Intel Celeron 6305 (4M Cache<br> up to 1.8 GHz)<br> Графичка карта Intel HD graphics<br> РАМ Меморија 4GB DDR4 3200МHz<br> Диск 256GB SSD M.2 2242 PCIe 3.0x4 NVМе<br> HD 720P WEBCAM<br> 2 x Stereo Speakers with Dolby Audio<br> LAN: 10/100/1000M Gigabit Ethernet<br> Bluetooth® 4.0 Combo with WiFi Card<br> Ports: 1 x USB 3.0<br> 2 x USB 2.0<br> 3.5 mm Combo Audio Jack<br> 1 x VGA<br> 1 x HDMI<br> 1 x RJ45<br> 4-in-1 Card Reader<br> 15.6" FULL HD (1920x1080)<br> P/N: 82H800WBRM </div>,52567_0-1000x1000.jpg,LENOVO-IdeaPad-3-15ITL6-(-GRAY-)---Процесор-Intel-Celeron-6305-(4M-Cache, 720,SE_52567,SE_52567,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Lenovo,LENOVO IdeaPad 3 15ITL6 GRAY - Процесор Intel Celeron 6305 (4M Cache,,SE_51395,15189.0,0,1,,6,0,1,0,,,LENOVO IdeaPad 3 15ITL6 GRAY Процесор Intel Celeron 6305 (4M Cache  up to 1.8 GHz)  Графичка карта Intel HD graphics  РАМ Меморија 4GB DDR4 3200МHz  Диск 256GB SSD M.2 2242 PCIe 3.0x4 NVМе  HD 720P WEBCAM  2 x Stereo Speakers with Dolby Audio  LAN: 10/100/1000M Gigabit Ethernet  Bluetooth® 4.0 Combo with WiFi Card  Ports: 1 x USB 3.0  2 x USB 2.0  3.5 mm Combo Audio Jack  1 x VGA  1 x HDMI  1 x RJ45  4-in-1 Card Reader  15.6" HD (1366x768)  P/N: 82H8006WRM,,<div class="tab-content" id="tab-description" itemprop="description">LENOVO IdeaPad 3 15ITL6 GRAY - Процесор Intel Celeron 6305 (4M Cache<br> up to 1.8 GHz)<br> Графичка карта Intel HD graphics<br> РАМ Меморија 4GB DDR4 3200МHz<br> Диск 256GB SSD M.2 2242 PCIe 3.0x4 NVМе<br> HD 720P WEBCAM<br> 2 x Stereo Speakers with Dolby Audio<br> LAN: 10/100/1000M Gigabit Ethernet<br> Bluetooth® 4.0 Combo with WiFi Card<br> Ports: 1 x USB 3.0<br> 2 x USB 2.0<br> 3.5 mm Combo Audio Jack<br> 1 x VGA<br> 1 x HDMI<br> 1 x RJ45<br> 4-in-1 Card Reader<br> 15.6" HD (1366x768)<br> P/N: 82H8006WRM </div>,51395_0-1000x1000.jpg,LENOVO-IdeaPad-3-15ITL6-GRAY---Процесор-Intel-Celeron-6305-(4M-Cache, 720,SE_51395,SE_51395,37,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS E510MA-BR698 (Peacock Blue),,SE_52657,15679.0,0,1,,6,0,1,0,,,ASUS E510MA-BR698 (Peacock Blue)  Процесор Intel Celeron N4020 (4M Cache  up to 2.8 GHz  2 cores)  Рам Меморија 4GB DDR4 (on-board 4GB)   Диск 256GB M.2 SSD PCIEG3x2 NVME   Графичка карта Intel UHD   BT5.0  1xUSB 2.0  1xUSB 3.2  1xType C  HDMI 1.4 VGA camera  42WHrs / 3S1P/ 3-cell Li-ion  15.6" HD LED (1366x768) glare  PN: 90NB0Q64-M002J0,,<div class="tab-content" id="tab-description" itemprop="description">ASUS E510MA-BR698 (Peacock Blue)<br> Процесор Intel Celeron N4020 (4M Cache<br> up to 2.8 GHz<br> 2 cores)<br> Рам Меморија 4GB DDR4 (on-board 4GB) <br> Диск 256GB M.2 SSD PCIEG3x2 NVME <br> Графичка карта Intel UHD <br> BT5.0<br> 1xUSB 2.0<br> 1xUSB 3.2<br> 1xType C<br> HDMI 1.4<br>VGA camera<br> 42WHrs / 3S1P/ 3-cell Li-ion<br> 15.6" HD LED (1366x768) glare<br> PN: 90NB0Q64-M002J0 </div>,52657_0-1000x1000.jpg,ASUS-E510MA-BR698-(Peacock-Blue), 720,SE_52657,SE_52657,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS X515KA-EJ217 (Transparent Silver),,SE_55009,15679.0,0,1,,3,0,1,0,,,ASUS X515KA-EJ217 (Transparent Silver)  Процесор Intel Celeron N4500 (4M Cache  up to 2.8 GHz  2 cores)  Рам Меморија 8GB DDR4 (on-board 4GB)   Диск 512GB M.2 SSD PCIEG3x2 NVME   Графичка карта Intel UHD Graphics 600   BT5.0  1xUSB 2.0  1xUSB 3.2  1xType C  HDMI 1.4 VGA camera  42WHrs / 3S1P/ 3-cell Li-ion  15.6" FULL HD LED (1920x1080) glare  PN: 90NB0VI2-M00B60,,<div class="tab-content" id="tab-description" itemprop="description">ASUS X515KA-EJ217 (Transparent Silver)<br> Процесор Intel Celeron N4500 (4M Cache<br> up to 2.8 GHz<br> 2 cores)<br> Рам Меморија 8GB DDR4 (on-board 4GB) <br> Диск 512GB M.2 SSD PCIEG3x2 NVME <br> Графичка карта Intel UHD Graphics 600 <br> BT5.0<br> 1xUSB 2.0<br> 1xUSB 3.2<br> 1xType C<br> HDMI 1.4<br>VGA camera<br> 42WHrs / 3S1P/ 3-cell Li-ion<br> 15.6" FULL HD LED (1920x1080) glare<br> PN: 90NB0VI2-M00B60 </div>,55009_0-1000x1000.jpg,ASUS-X515KA-EJ217-(Transparent-Silver), 720,SE_55009,SE_55009,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS X515MA-EJ493 (Transparent Silver),,SE_54132,15679.0,0,1,,5,0,1,0,,,ASUS X515MA-EJ493 (Transparent Silver)  Процесор Intel Celeron N4020 (4M Cache  up to 2.8 GHz  2 cores)  Рам Меморија 8GB DDR4 (on-board 4GB)   Диск 256GB M.2 SSD PCIEG3x2 NVME   Графичка карта Intel UHD Graphics 600   BT5.0  1xUSB 2.0  1xUSB 3.2  1xType C  HDMI 1.4 VGA camera  42WHrs / 3S1P/ 3-cell Li-ion  15.6" FULL HD LED (1920x1080) glare  PN: 90NB0TH2-M00BC0,,<div class="tab-content" id="tab-description" itemprop="description">ASUS X515MA-EJ493 (Transparent Silver)<br> Процесор Intel Celeron N4020 (4M Cache<br> up to 2.8 GHz<br> 2 cores)<br> Рам Меморија 8GB DDR4 (on-board 4GB) <br> Диск 256GB M.2 SSD PCIEG3x2 NVME <br> Графичка карта Intel UHD Graphics 600 <br> BT5.0<br> 1xUSB 2.0<br> 1xUSB 3.2<br> 1xType C<br> HDMI 1.4<br>VGA camera<br> 42WHrs / 3S1P/ 3-cell Li-ion<br> 15.6" FULL HD LED (1920x1080) glare<br> PN: 90NB0TH2-M00BC0 </div>,54132_0-1000x1000.jpg,ASUS-X515MA-EJ493-(Transparent-Silver), 720,SE_54132,SE_54132,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS X540MA-DM197T / Windows 10 Home ( Chocolate Black ) - Intel® Pentium® Silver N5000 Processor (,,SE_47344,16659.0,0,1,,0,0,1,0,,,ASUS X540MA-DM197T / Windows 10 Home ( Chocolate Black ) Intel® Pentium® Silver N5000 Processor (4M Cache  up to 2.7 GHz)  4GB DDR4 2400MHz (on-board)  1TB 5400rpm  Intel UHD Graphics 600  W/O ODD  BT4.0  3xUSB (2x2.0  1x3.0); VGA WebCam  HDMI  2kg  no LAN  33WHrs  3-cell Li-ion  15.6" HD LED (1366x768) non-glare  Windows 10 Home (64bit)  PN: 90NB0IR1-M02800,,<div class="tab-content" id="tab-description" itemprop="description">ASUS X540MA-DM197T / Windows 10 Home ( Chocolate Black ) - Intel® Pentium® Silver N5000 Processor (4M Cache<br> up to 2.7 GHz)<br> 4GB DDR4 2400MHz (on-board)<br> 1TB 5400rpm<br> Intel UHD Graphics 600<br> W/O ODD<br> BT4.0<br> 3xUSB (2x2.0<br> 1x3.0); VGA WebCam<br> HDMI<br> 2kg<br> no LAN<br> 33WHrs<br> 3-cell Li-ion<br> 15.6" HD LED (1366x768) non-glare<br> Windows 10 Home (64bit)<br> PN: 90NB0IR1-M02800 </div>,47344_0-1000x1000.jpg,ASUS-X540MA-DM197T-/-Windows-10-Home-(-Chocolate-Black-)---Intel®-Pentium®-Silver-N5000-Processor-(, 720,SE_47344,SE_47344,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS E510MA-EJ594W / Win 11 (Peacock Blue),,SE_52915,18619.0,0,1,,2,0,1,0,,,ASUS E510MA-EJ594W / Win 11 (Peacock Blue)  Процесор Intel Celeron N4020 (4M Cache  up to 2.8 GHz  2 cores)  Рам Меморија 8GB DDR4 (on-board 4GB)   Диск 256GB M.2 SSD PCIEG3x2 NVME   Графичка карта Intel UHD Graphics 600   BT5.0  1xUSB 2.0  1xUSB 3.2  1xType C  HDMI 1.4 VGA camera  42WHrs / 3S1P/ 3-cell Li-ion  15.6" FULL HD LED (1920x1080) glare  Windows 11 Home 64-bit  PN: 90NB0Q64-M13760,,<div class="tab-content" id="tab-description" itemprop="description">ASUS E510MA-EJ594W / Win 11 (Peacock Blue)<br> Процесор Intel Celeron N4020 (4M Cache<br> up to 2.8 GHz<br> 2 cores)<br> Рам Меморија 8GB DDR4 (on-board 4GB) <br> Диск 256GB M.2 SSD PCIEG3x2 NVME <br> Графичка карта Intel UHD Graphics 600 <br> BT5.0<br> 1xUSB 2.0<br> 1xUSB 3.2<br> 1xType C<br> HDMI 1.4<br>VGA camera<br> 42WHrs / 3S1P/ 3-cell Li-ion<br> 15.6" FULL HD LED (1920x1080) glare<br> Windows 11 Home 64-bit<br> PN: 90NB0Q64-M13760 </div>,52915_0-1000x1000.jpg,ASUS-E510MA-EJ594W-/-Win-11-(Peacock-Blue), 720,SE_52915,SE_52915,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,Asus,ASUS X515MA-EJ488 ( Transparent Silver ) - Процесор Intel® Pentium® N5030 (4M Cache,,SE_52715,18619.0,0,1,,9,0,1,0,,,ASUS X515MA-EJ488 ( Transparent Silver ) Процесор Intel® Pentium® N5030 (4M Cache  up to 3.1 GHz)  Рам Меморија 8GB DDR4 2400MHz (on-board)  Диск 256GB SSD  W/O ODD  Intel® UHD Graphics 600  BT4.0  3xUSB (2x2.0  1x3.0); VGA WebCam  HDMI  2kg  no LAN  33WHrs  3-cell Li-ion  15.6" FULL HD LED (1920x1080) non-glare  PN: 90NB0TH2-M003P0,,<div class="tab-content" id="tab-description" itemprop="description">ASUS X515MA-EJ488 ( Transparent Silver ) - Процесор Intel® Pentium® N5030 (4M Cache<br> up to 3.1 GHz)<br> Рам Меморија 8GB DDR4 2400MHz (on-board)<br> Диск 256GB SSD<br> W/O ODD<br> Intel® UHD Graphics 600<br> BT4.0<br> 3xUSB (2x2.0<br> 1x3.0); VGA WebCam<br> HDMI<br> 2kg<br> no LAN<br> 33WHrs<br> 3-cell Li-ion<br> 15.6" FULL HD LED (1920x1080) non-glare<br> PN: 90NB0TH2-M003P0 </div>,52715_0-1000x1000.jpg,ASUS-X515MA-EJ488-(-Transparent-Silver-)---Процесор-Intel®-Pentium®-N5030-(4M-Cache, 720,SE_52715,SE_52715,8,kategorijaID,Laptopi
Лаптопи нетбуци преносни компјутери и опрема/Лаптоп компјутери,HP,HP 15s-eq1060nia (Jet Black),,SE_50468,18619.0,0,1,,3,0,1,0,,,HP 15s-eq1060nia (Jet Black)  -Процесор AMD Ryzen 3 3250U (4M Cache  up to 3.5 GHz)  AMD Radeon Vega Интегрирана Графичка карта   Рам меморија 4GB 2400MHz DDR4  Диск 256GB SSD  HD Вен камера  Wireless: 802.11a/b/g/n/ac  Bluetooth 4.2  Stereo Speakers  1 x USB 3.1 Type-C  2 x USB 3.1  1 x HDMI  1 x headphone/microphone combo  Card Reader  15.6" (1920x1080)   PN: 3B3J0EA#BH5,,<div class="tab-content" id="tab-description" itemprop="description">HP 15s-eq1060nia (Jet Black)<br> -Процесор AMD Ryzen 3 3250U (4M Cache<br> up to 3.5 GHz)<br> AMD Radeon Vega Интегрирана Графичка карта <br> Рам меморија 4GB 2400MHz DDR4<br> Диск 256GB SSD<br> HD Вен камера<br> Wireless: 802.11a/b/g/n/ac<br> Bluetooth 4.2<br> Stereo Speakers<br> 1 x USB 3.1 Type-C<br> 2 x USB 3.1<br> 1 x HDMI<br> 1 x headphone/microphone combo<br> Card Reader<br> 15.6" (1920x1080) <br> PN: 3B3J0EA#BH5 </div>,50468_0-1000x1000.jpg,HP-15s-eq1060nia-(Jet-Black), 360,SE_50468,SE_50468,28,kategorijaID,Laptopi
